ISO3Code,Age,Pop2020,Sex
HUN,10,483361,Both
ISL,10,23213,Both
IND,10,126155952,Both
IDN,10,22984659,Both
IRN,10,6217945,Both
IRQ,10,4559181,Both
IRL,10,356711,Both
ISR,10,737609,Both
ITA,10,2857357,Both
CIV,10,3198933,Both
JAM,10,226882,Both
JPN,10,5564526,Both
KAZ,10,1604307,Both
JOR,10,1139559,Both
KEN,10,6736223,Both
PRK,10,1684990,Both
KOR,10,2276782,Both
KWT,10,308230,Both
KGZ,10,600626,Both
LAO,10,757599,Both
LBN,10,558896,Both
LSO,10,211871,Both
LVA,10,102172,Both
LBR,10,623080,Both
LBY,10,623749,Both
LTU,10,120680,Both
LUX,10,31481,Both
MDG,10,3330790,Both
MWI,10,2561842,Both
MYS,10,2446026,Both
MDV,10,33125,Both
MLI,10,2759052,Both
MLT,10,20365,Both
MRT,10,537394,Both
MUS,10,80576,Both
MEX,10,11140870,Both
MNG,10,281841,Both
MDA,10,216870,Both
MNE,10,39389,Both
MAR,10,3127603,Both
MOZ,10,4054236,Both
OMN,10,315751,Both
NAM,10,281578,Both
NPL,10,2931249,Both
NLD,10,937700,Both
VUT,10,37092,Both
NZL,10,321707,Both
NIC,10,637140,Both
NER,10,3265890,Both
NGA,10,25792743,Both
NOR,10,321226,Both
FSM,10,11829,Both
PAK,10,23451518,Both
PAN,10,369411,Both
PNG,10,994174,Both
PRY,10,676926,Both
PER,10,2696055,Both
PHL,10,10906801,Both
POL,10,1974514,Both
PRT,10,489999,Both
GNB,10,242778,Both
TLS,10,153730,Both
QAT,10,122418,Both
ROU,10,1080761,Both
RUS,10,8174262,Both
RWA,10,1551766,Both
LCA,10,11152,Both
VCT,10,8355,Both
STP,10,29106,Both
SAU,10,2641499,Both
SEN,10,2098919,Both
SRB,10,486863,Both
SYC,10,7438,Both
SLE,10,992319,Both
SGP,10,240625,Both
SVK,10,282577,Both
VNM,10,7098174,Both
SVN,10,104506,Both
SOM,10,2119343,Both
ZAF,10,5495963,Both
ZWE,10,1921060,Both
ESP,10,2497954,Both
SSD,10,1380431,Both
SDN,10,5322924,Both
SUR,10,51594,Both
SWZ,10,147779,Both
SWE,10,585901,Both
CHE,10,409669,Both
SYR,10,1749863,Both
TJK,10,977078,Both
THA,10,4113805,Both
TGO,10,1023991,Both
TON,10,12103,Both
TTO,10,96320,Both
ARE,10,453459,Both
TUN,10,853066,Both
TUR,10,6773238,Both
TKM,10,524183,Both
UGA,10,6192176,Both
UKR,10,2403743,Both
MKD,10,112251,Both
EGY,10,9684339,Both
GBR,10,3956340,Both
TZA,10,7654580,Both
USA,10,21089487,Both
BFA,10,2722658,Both
URY,10,233314,Both
UZB,10,2925422,Both
VEN,10,2657796,Both
WSM,10,22684,Both
YEM,10,3548681,Both
ZMB,10,2428598,Both
AFG,15,4629445,Both
ALB,15,199597,Both
DZA,15,2910345,Both
AGO,15,3532518,Both
ATG,15,7053,Both
AZE,15,637237,Both
ARG,15,3539449,Both
AUS,15,1519906,Both
AUT,15,452370,Both
BHS,15,32502,Both
BHR,15,88901,Both
BGD,15,15585144,Both
ARM,15,170477,Both
BRB,15,18965,Both
BEL,15,640782,Both
BTN,15,69730,Both
BOL,15,1136684,Both
BIH,15,165035,Both
BWA,15,225505,Both
BRA,15,16218004,Both
BLZ,15,39853,Both
SLB,15,70034,Both
BRN,15,33775,Both
BGR,15,315268,Both
MMR,15,5071244,Both
BDI,15,1216932,Both
BLR,15,443627,Both
KHM,15,1460325,Both
CMR,15,2856250,Both
CAN,15,1988319,Both
CPV,15,48884,Both
CAF,15,597254,Both
LKA,15,1664559,Both
TCD,15,1854850,Both
CHL,15,1244242,Both
CHN,15,82341859,Both
COL,15,4246391,Both
COM,15,89592,Both
COG,15,572967,Both
COD,15,9472510,Both
CRI,15,363431,Both
HRV,15,196912,Both
CUB,15,642829,Both
CYP,15,73902,Both
CZE,15,487718,Both
BEN,15,1291415,Both
DNK,15,338903,Both
DOM,15,958630,Both
ECU,15,1560940,Both
SLV,15,587927,Both
GNQ,15,120951,Both
ETH,15,12975795,Both
ERI,15,373932,Both
EST,15,62295,Both
FJI,15,75208,Both
FIN,15,296298,Both
FRA,15,3887789,Both
DJI,15,90777,Both
GAB,15,193380,Both
GEO,15,217595,Both
GMB,15,257037,Both
PSE,15,517060,Both
DEU,15,4118971,Both
GHA,15,3136850,Both
KIR,15,10194,Both
GRC,15,526618,Both
GRD,15,7514,Both
GTM,15,1945584,Both
GIN,15,1511548,Both
GUY,15,74852,Both
HTI,15,1144460,Both
HND,15,1040990,Both
HUN,15,485846,Both
ISL,15,21495,Both
IND,15,126045566,Both
IDN,15,23318346,Both
IRN,15,5529983,Both
IRQ,15,4151576,Both
IRL,15,312036,Both
ISR,15,667454,Both
ITA,15,2876091,Both
CIV,15,2905925,Both
JAM,15,239718,Both
JPN,15,5702645,Both
KAZ,15,1116616,Both
JOR,15,1040294,Both
KEN,15,6010656,Both
PRK,15,1876239,Both
KOR,15,2476476,Both
KWT,15,224996,Both
KGZ,15,500075,Both
LAO,15,708652,Both
LBN,15,576101,Both
LSO,15,216950,Both
LVA,15,86552,Both
LBR,15,551945,Both
LBY,15,561995,Both
LTU,15,122161,Both
LUX,15,34420,Both
MDG,15,3012138,Both
MWI,15,2176211,Both
MYS,15,2669743,Both
MDV,15,26313,Both
MLI,15,2250410,Both
MLT,15,20562,Both
MRT,15,470161,Both
MUS,15,94588,Both
MEX,15,11209593,Both
MNG,15,218602,Both
MDA,15,202416,Both
MNE,15,39148,Both
MAR,15,2969593,Both
MOZ,15,3541222,Both
OMN,15,214553,Both
NAM,15,244856,Both
NPL,15,3188881,Both
NLD,15,1015992,Both
VUT,15,29834,Both
NZL,15,303246,Both
NIC,15,603021,Both
NER,15,2635235,Both
NGA,15,21910447,Both
NOR,15,321805,Both
FSM,15,11470,Both
PAK,15,21975918,Both
PAN,15,357198,Both
PNG,15,923709,Both
PRY,15,659352,Both
PER,15,2438549,Both
PHL,15,10462894,Both
POL,15,1734622,Both
PRT,15,525167,Both
GNB,15,207251,Both
TLS,15,152986,Both
QAT,15,105982,Both
ROU,15,994545,Both
RUS,15,7081775,Both
RWA,15,1354029,Both
LCA,15,13183,Both
VCT,15,9073,Both
STP,15,25003,Both
SAU,15,2218782,Both
SEN,15,1764783,Both
SRB,15,512868,Both
SYC,15,6428,Both
SLE,15,874877,Both
SGP,15,265169,Both
SVK,15,262918,Both
VNM,15,6500869,Both
SVN,15,91870,Both
SOM,15,1818247,Both
ZAF,15,4913211,Both
ZWE,15,1638895,Both
ESP,15,2238123,Both
SSD,15,1201470,Both
SDN,15,4800733,Both
SUR,15,50637,Both
SWZ,15,129239,Both
SWE,15,541226,Both
CHE,15,425198,Both
SYR,15,1575262,Both
TJK,15,811289,Both
THA,15,4378506,Both
TGO,15,891005,Both
TON,15,11419,Both
TTO,15,89490,Both
ARE,15,389532,Both
TUN,15,786872,Both
TUR,15,6821911,Both
TKM,15,484560,Both
UGA,15,5257248,Both
UKR,15,1979774,Both
MKD,15,121200,Both
EGY,15,8701092,Both
GBR,15,3686133,Both
TZA,15,6434462,Both
USA,15,21242908,Both
BFA,15,2306885,Both
URY,15,245615,Both
UZB,15,2535432,Both
VEN,15,2500772,Both
WSM,15,19314,Both
YEM,15,3201593,Both
ZMB,15,2121583,Both
AFG,20,3926485,Both
ALB,20,228356,Both
DZA,20,2999837,Both
AGO,20,2882566,Both
ATG,20,7579,Both
AZE,20,719127,Both
ARG,20,3477335,Both
AUS,20,1594568,Both
AUT,20,508761,Both
BHS,20,33496,Both
BHR,20,91684,Both
BGD,20,15239226,Both
ARM,20,176497,Both
BRB,20,18769,Both
BEL,20,657702,Both
BTN,20,74308,Both
BOL,20,1065189,Both
BIH,20,216168,Both
BWA,20,203740,Both
BRA,20,17152049,Both
BLZ,20,39341,Both
SLB,20,60995,Both
BRN,20,35200,Both
BGR,20,299467,Both
MMR,20,4759011,Both
BDI,20,1042770,Both
BLR,20,425472,Both
KHM,20,1528306,Both
CMR,20,2419998,Both
CAN,20,2363469,Both
CPV,20,45959,Both
