Measure,Age,Value,Sex,Country
Cases,20,1611978,Both,Luxembourg
Cases,25,2103937,Both,Luxembourg
Cases,30,2104966,Both,Luxembourg
Cases,35,1970078,Both,Luxembourg
Cases,40,1834677,Both,Luxembourg
Cases,45,1744550,Both,Luxembourg
Cases,50,1601880,Both,Luxembourg
Cases,55,1397704,Both,Luxembourg
Cases,60,1056240,Both,Luxembourg
Cases,65,786408,Both,Luxembourg
Cases,70,583227,Both,Luxembourg
Cases,75,428594,Both,Luxembourg
Cases,80,350497,Both,Luxembourg
Cases,85,263302,Both,Luxembourg
Cases,90,217188,Both,Luxembourg
Deaths,0,894,Both,Luxembourg
Deaths,5,311,Both,Luxembourg
Deaths,10,428,Both,Luxembourg
Deaths,15,767,Both,Luxembourg
Deaths,20,1993,Both,Luxembourg
Deaths,25,3347,Both,Luxembourg
Deaths,30,5881,Both,Luxembourg
Deaths,35,9267,Both,Luxembourg
Deaths,40,14842,Both,Luxembourg
Deaths,45,24111,Both,Luxembourg
Deaths,50,34251,Both,Luxembourg
Deaths,55,46765,Both,Luxembourg
Deaths,60,57322,Both,Luxembourg
Deaths,65,64455,Both,Luxembourg
Deaths,70,66925,Both,Luxembourg
Deaths,75,64368,Both,Luxembourg
Deaths,80,63890,Both,Luxembourg
Deaths,85,56288,Both,Luxembourg
Deaths,90,63669,Both,Luxembourg
Cases,0,304978,Both,Malawi
Cases,5,392894,Both,Malawi
Cases,10,568184,Both,Malawi
Cases,15,902741,Both,Malawi
Cases,20,1611978,Both,Malawi
Cases,25,2103937,Both,Malawi
Cases,30,2104966,Both,Malawi
Cases,35,1970078,Both,Malawi
Cases,40,1834677,Both,Malawi
Cases,45,1744550,Both,Malawi
Cases,50,1601880,Both,Malawi
Cases,55,1397704,Both,Malawi
Cases,60,1056240,Both,Malawi
Cases,65,786408,Both,Malawi
Cases,70,583227,Both,Malawi
Cases,75,428594,Both,Malawi
Cases,80,350497,Both,Malawi
Cases,85,263302,Both,Malawi
Cases,90,217188,Both,Malawi
Deaths,0,894,Both,Malawi
Deaths,5,311,Both,Malawi
Deaths,10,428,Both,Malawi
Deaths,15,767,Both,Malawi
Deaths,20,1993,Both,Malawi
Deaths,25,3347,Both,Malawi
Deaths,30,5881,Both,Malawi
Deaths,35,9267,Both,Malawi
Deaths,40,14842,Both,Malawi
Deaths,45,24111,Both,Malawi
Deaths,50,34251,Both,Malawi
Deaths,55,46765,Both,Malawi
Deaths,60,57322,Both,Malawi
Deaths,65,64455,Both,Malawi
Deaths,70,66925,Both,Malawi
Deaths,75,64368,Both,Malawi
Deaths,80,63890,Both,Malawi
Deaths,85,56288,Both,Malawi
Deaths,90,63669,Both,Malawi
Cases,0,304978,Both,Malta
Cases,5,392894,Both,Malta
Cases,10,568184,Both,Malta
Cases,15,902741,Both,Malta
Cases,20,1611978,Both,Malta
Cases,25,2103937,Both,Malta
Cases,30,2104966,Both,Malta
Cases,35,1970078,Both,Malta
Cases,40,1834677,Both,Malta
Cases,45,1744550,Both,Malta
Cases,50,1601880,Both,Malta
Cases,55,1397704,Both,Malta
Cases,60,1056240,Both,Malta
Cases,65,786408,Both,Malta
Cases,70,583227,Both,Malta
Cases,75,428594,Both,Malta
Cases,80,350497,Both,Malta
Cases,85,263302,Both,Malta
Cases,90,217188,Both,Malta
Deaths,0,894,Both,Malta
Deaths,5,311,Both,Malta
Deaths,10,428,Both,Malta
Deaths,15,767,Both,Malta
Deaths,20,1993,Both,Malta
Deaths,25,3347,Both,Malta
Deaths,30,5881,Both,Malta
Deaths,35,9267,Both,Malta
Deaths,40,14842,Both,Malta
Deaths,45,24111,Both,Malta
Deaths,50,34251,Both,Malta
Deaths,55,46765,Both,Malta
Deaths,60,57322,Both,Malta
Deaths,65,64455,Both,Malta
Deaths,70,66925,Both,Malta
Deaths,75,64368,Both,Malta
Deaths,80,63890,Both,Malta
Deaths,85,56288,Both,Malta
Deaths,90,63669,Both,Malta
Cases,0,304978,Both,Mexico
Cases,5,392894,Both,Mexico
Cases,10,568184,Both,Mexico
Cases,15,902741,Both,Mexico
Cases,20,1611978,Both,Mexico
Cases,25,2103937,Both,Mexico
Cases,30,2104966,Both,Mexico
Cases,35,1970078,Both,Mexico
Cases,40,1834677,Both,Mexico
Cases,45,1744550,Both,Mexico
Cases,50,1601880,Both,Mexico
Cases,55,1397704,Both,Mexico
Cases,60,1056240,Both,Mexico
Cases,65,786408,Both,Mexico
Cases,70,583227,Both,Mexico
Cases,75,428594,Both,Mexico
Cases,80,350497,Both,Mexico
Cases,85,263302,Both,Mexico
Cases,90,217188,Both,Mexico
Deaths,0,894,Both,Mexico
Deaths,5,311,Both,Mexico
Deaths,10,428,Both,Mexico
Deaths,15,767,Both,Mexico
Deaths,20,1993,Both,Mexico
Deaths,25,3347,Both,Mexico
Deaths,30,5881,Both,Mexico
Deaths,35,9267,Both,Mexico
Deaths,40,14842,Both,Mexico
Deaths,45,24111,Both,Mexico
Deaths,50,34251,Both,Mexico
Deaths,55,46765,Both,Mexico
Deaths,60,57322,Both,Mexico
Deaths,65,64455,Both,Mexico
Deaths,70,66925,Both,Mexico
Deaths,75,64368,Both,Mexico
Deaths,80,63890,Both,Mexico
Deaths,85,56288,Both,Mexico
Deaths,90,63669,Both,Mexico
Cases,0,304978,Both,Moldova
Cases,5,392894,Both,Moldova
Cases,10,568184,Both,Moldova
Cases,15,902741,Both,Moldova
Cases,20,1611978,Both,Moldova
Cases,25,2103937,Both,Moldova
Cases,30,2104966,Both,Moldova
Cases,35,1970078,Both,Moldova
Cases,40,1834677,Both,Moldova
Cases,45,1744550,Both,Moldova
Cases,50,1601880,Both,Moldova
Cases,55,1397704,Both,Moldova
Cases,60,1056240,Both,Moldova
Cases,65,786408,Both,Moldova
Cases,70,583227,Both,Moldova
Cases,75,428594,Both,Moldova
Cases,80,350497,Both,Moldova
Cases,85,263302,Both,Moldova
Cases,90,217188,Both,Moldova
Deaths,0,894,Both,Moldova
Deaths,5,311,Both,Moldova
Deaths,10,428,Both,Moldova
Deaths,15,767,Both,Moldova
Deaths,20,1993,Both,Moldova
Deaths,25,3347,Both,Moldova
Deaths,30,5881,Both,Moldova
Deaths,35,9267,Both,Moldova
Deaths,40,14842,Both,Moldova
Deaths,45,24111,Both,Moldova
Deaths,50,34251,Both,Moldova
Deaths,55,46765,Both,Moldova
Deaths,60,57322,Both,Moldova
Deaths,65,64455,Both,Moldova
Deaths,70,66925,Both,Moldova
Deaths,75,64368,Both,Moldova
Deaths,80,63890,Both,Moldova
Deaths,85,56288,Both,Moldova
Deaths,90,63669,Both,Moldova
Cases,0,304978,Both,Nepal
Cases,5,392894,Both,Nepal
Cases,10,568184,Both,Nepal
Cases,15,902741,Both,Nepal
Cases,20,1611978,Both,Nepal
Cases,25,2103937,Both,Nepal
Cases,30,2104966,Both,Nepal
Cases,35,1970078,Both,Nepal
Cases,40,1834677,Both,Nepal
Cases,45,1744550,Both,Nepal
Cases,50,1601880,Both,Nepal
Cases,55,1397704,Both,Nepal
Cases,60,1056240,Both,Nepal
Cases,65,786408,Both,Nepal
Cases,70,583227,Both,Nepal
Cases,75,428594,Both,Nepal
Cases,80,350497,Both,Nepal
Cases,85,263302,Both,Nepal
Cases,90,217188,Both,Nepal
Deaths,0,894,Both,Nepal
Deaths,5,311,Both,Nepal
Deaths,10,428,Both,Nepal
Deaths,15,767,Both,Nepal
Deaths,20,1993,Both,Nepal
Deaths,25,3347,Both,Nepal
Deaths,30,5881,Both,Nepal
Deaths,35,9267,Both,Nepal
Deaths,40,14842,Both,Nepal
Deaths,45,24111,Both,Nepal
Deaths,50,34251,Both,Nepal
Deaths,55,46765,Both,Nepal
Deaths,60,57322,Both,Nepal
Deaths,65,64455,Both,Nepal
Deaths,70,66925,Both,Nepal
Deaths,75,64368,Both,Nepal
Deaths,80,63890,Both,Nepal
Deaths,85,56288,Both,Nepal
Deaths,90,63669,Both,Nepal
Cases,0,304978,Both,Nigeria
Cases,5,392894,Both,Nigeria
Cases,10,568184,Both,Nigeria
Cases,15,902741,Both,Nigeria
Cases,20,1611978,Both,Nigeria
Cases,25,2103937,Both,Nigeria
Cases,30,2104966,Both,Nigeria
Cases,35,1970078,Both,Nigeria
Cases,40,1834677,Both,Nigeria
Cases,45,1744550,Both,Nigeria
Cases,50,1601880,Both,Nigeria
Cases,55,1397704,Both,Nigeria
Cases,60,1056240,Both,Nigeria
Cases,65,786408,Both,Nigeria
Cases,70,583227,Both,Nigeria
Cases,75,428594,Both,Nigeria
Cases,80,350497,Both,Nigeria
Cases,85,263302,Both,Nigeria
Cases,90,217188,Both,Nigeria
Deaths,0,894,Both,Nigeria
Deaths,5,311,Both,Nigeria
Deaths,10,428,Both,Nigeria
Deaths,15,767,Both,Nigeria
Deaths,20,1993,Both,Nigeria
Deaths,25,3347,Both,Nigeria
Deaths,30,5881,Both,Nigeria
Deaths,35,9267,Both,Nigeria
Deaths,40,14842,Both,Nigeria
Deaths,45,24111,Both,Nigeria
Deaths,50,34251,Both,Nigeria
Deaths,55,46765,Both,Nigeria
Deaths,60,57322,Both,Nigeria
Deaths,65,64455,Both,Nigeria
Deaths,70,66925,Both,Nigeria
Deaths,75,64368,Both,Nigeria
Deaths,80,63890,Both,Nigeria
Deaths,85,56288,Both,Nigeria
Deaths,90,63669,Both,Nigeria
Cases,0,304978,Both,Northern Ireland
Cases,5,392894,Both,Northern Ireland
Cases,10,568184,Both,Northern Ireland
Cases,15,902741,Both,Northern Ireland
Cases,20,1611978,Both,Northern Ireland
Cases,25,2103937,Both,Northern Ireland
Cases,30,2104966,Both,Northern Ireland
Cases,35,1970078,Both,Northern Ireland
Cases,40,1834677,Both,Northern Ireland
Cases,45,1744550,Both,Northern Ireland
Cases,50,1601880,Both,Northern Ireland
Cases,55,1397704,Both,Northern Ireland
Cases,60,1056240,Both,Northern Ireland
Cases,65,786408,Both,Northern Ireland
Cases,70,583227,Both,Northern Ireland
Cases,75,428594,Both,Northern Ireland
Cases,80,350497,Both,Northern Ireland
Cases,85,263302,Both,Northern Ireland
Cases,90,217188,Both,Northern Ireland
Deaths,0,894,Both,Northern Ireland
Deaths,5,311,Both,Northern Ireland
Deaths,10,428,Both,Northern Ireland
Deaths,15,767,Both,Northern Ireland
Deaths,20,1993,Both,Northern Ireland
Deaths,25,3347,Both,Northern Ireland
Deaths,30,5881,Both,Northern Ireland
Deaths,35,9267,Both,Northern Ireland
Deaths,40,14842,Both,Northern Ireland
Deaths,45,24111,Both,Northern Ireland
Deaths,50,34251,Both,Northern Ireland
Deaths,55,46765,Both,Northern Ireland
Deaths,60,57322,Both,Northern Ireland
Deaths,65,64455,Both,Northern Ireland
Deaths,70,66925,Both,Northern Ireland
Deaths,75,64368,Both,Northern Ireland
Deaths,80,63890,Both,Northern Ireland
Deaths,85,56288,Both,Northern Ireland
Deaths,90,63669,Both,Northern Ireland
Cases,0,304978,Both,Pakistan
Cases,5,392894,Both,Pakistan
Cases,10,568184,Both,Pakistan
Cases,15,902741,Both,Pakistan
Cases,20,1611978,Both,Pakistan
Cases,25,2103937,Both,Pakistan
Cases,30,2104966,Both,Pakistan
Cases,35,1970078,Both,Pakistan
Cases,40,1834677,Both,Pakistan
Cases,45,1744550,Both,Pakistan
Cases,50,1601880,Both,Pakistan
Cases,55,1397704,Both,Pakistan
Cases,60,1056240,Both,Pakistan
Cases,65,786408,Both,Pakistan
Cases,70,583227,Both,Pakistan
Cases,75,428594,Both,Pakistan
Cases,80,350497,Both,Pakistan
Cases,85,263302,Both,Pakistan
Cases,90,217188,Both,Pakistan
Deaths,0,894,Both,Pakistan
Deaths,5,311,Both,Pakistan
Deaths,10,428,Both,Pakistan
Deaths,15,767,Both,Pakistan
Deaths,20,1993,Both,Pakistan
Deaths,25,3347,Both,Pakistan
Deaths,30,5881,Both,Pakistan
Deaths,35,9267,Both,Pakistan
Deaths,40,14842,Both,Pakistan
Deaths,45,24111,Both,Pakistan
Deaths,50,34251,Both,Pakistan
Deaths,55,46765,Both,Pakistan
Deaths,60,57322,Both,Pakistan
Deaths,65,64455,Both,Pakistan
Deaths,70,66925,Both,Pakistan
Deaths,75,64368,Both,Pakistan
Deaths,80,63890,Both,Pakistan
Deaths,85,56288,Both,Pakistan
Deaths,90,63669,Both,Pakistan
Cases,0,304978,Both,Paraguay
Cases,5,392894,Both,Paraguay
Cases,10,568184,Both,Paraguay
Cases,15,902741,Both,Paraguay
Cases,20,1611978,Both,Paraguay
Cases,25,2103937,Both,Paraguay
Cases,30,2104966,Both,Paraguay
Cases,35,1970078,Both,Paraguay
Cases,40,1834677,Both,Paraguay
Cases,45,1744550,Both,Paraguay
Cases,50,1601880,Both,Paraguay
Cases,55,1397704,Both,Paraguay
Cases,60,1056240,Both,Paraguay
Cases,65,786408,Both,Paraguay
Cases,70,583227,Both,Paraguay
Cases,75,428594,Both,Paraguay
Cases,80,350497,Both,Paraguay
Cases,85,263302,Both,Paraguay
Cases,90,217188,Both,Paraguay
Deaths,0,894,Both,Paraguay
Deaths,5,311,Both,Paraguay
Deaths,10,428,Both,Paraguay
Deaths,15,767,Both,Paraguay
Deaths,20,1993,Both,Paraguay
Deaths,25,3347,Both,Paraguay
Deaths,30,5881,Both,Paraguay
Deaths,35,9267,Both,Paraguay
Deaths,40,14842,Both,Paraguay
Deaths,45,24111,Both,Paraguay
Deaths,50,34251,Both,Paraguay
Deaths,55,46765,Both,Paraguay
Deaths,60,57322,Both,Paraguay
Deaths,65,64455,Both,Paraguay
Deaths,70,66925,Both,Paraguay
Deaths,75,64368,Both,Paraguay
Deaths,80,63890,Both,Paraguay
Deaths,85,56288,Both,Paraguay
Deaths,90,63669,Both,Paraguay
Cases,0,304978,Both,Peru
Cases,5,392894,Both,Peru
Cases,10,568184,Both,Peru
Cases,15,902741,Both,Peru
Cases,20,1611978,Both,Peru
Cases,25,2103937,Both,Peru
Cases,30,2104966,Both,Peru
Cases,35,1970078,Both,Peru
Cases,40,1834677,Both,Peru
Cases,45,1744550,Both,Peru
Cases,50,1601880,Both,Peru
Cases,55,1397704,Both,Peru
Cases,60,1056240,Both,Peru
Cases,65,786408,Both,Peru
Cases,70,583227,Both,Peru
Cases,75,428594,Both,Peru
Cases,80,350497,Both,Peru
Cases,85,263302,Both,Peru
Cases,90,217188,Both,Peru
Deaths,0,894,Both,Peru
Deaths,5,311,Both,Peru
Deaths,10,428,Both,Peru
Deaths,15,767,Both,Peru
Deaths,20,1993,Both,Peru
Deaths,25,3347,Both,Peru
Deaths,30,5881,Both,Peru
Deaths,35,9267,Both,Peru
Deaths,40,14842,Both,Peru
Deaths,45,24111,Both,Peru
Deaths,50,34251,Both,Peru
Deaths,55,46765,Both,Peru
Deaths,60,57322,Both,Peru
Deaths,65,64455,Both,Peru
Deaths,70,66925,Both,Peru
Deaths,75,64368,Both,Peru
Deaths,80,63890,Both,Peru
Deaths,85,56288,Both,Peru
Deaths,90,63669,Both,Peru
Cases,0,304978,Both,Philippines
Cases,5,392894,Both,Philippines
Cases,10,568184,Both,Philippines
Cases,15,902741,Both,Philippines
Cases,20,1611978,Both,Philippines
Cases,25,2103937,Both,Philippines
Cases,30,2104966,Both,Philippines
Cases,35,1970078,Both,Philippines
Cases,40,1834677,Both,Philippines
Cases,45,1744550,Both,Philippines
Cases,50,1601880,Both,Philippines
Cases,55,1397704,Both,Philippines
Cases,60,1056240,Both,Philippines
Cases,65,786408,Both,Philippines
Cases,70,583227,Both,Philippines
Cases,75,428594,Both,Philippines
Cases,80,350497,Both,Philippines
Cases,85,263302,Both,Philippines
Cases,90,217188,Both,Philippines
Deaths,0,894,Both,Philippines
Deaths,5,311,Both,Philippines
Deaths,10,428,Both,Philippines
Deaths,15,767,Both,Philippines
Deaths,20,1993,Both,Philippines
Deaths,25,3347,Both,Philippines
Deaths,30,5881,Both,Philippines
Deaths,35,9267,Both,Philippines
Deaths,40,14842,Both,Philippines
Deaths,45,24111,Both,Philippines
Deaths,50,34251,Both,Philippines
Deaths,55,46765,Both,Philippines
Deaths,60,57322,Both,Philippines
Deaths,65,64455,Both,Philippines
Deaths,70,66925,Both,Philippines
Deaths,75,64368,Both,Philippines
Deaths,80,63890,Both,Philippines
Deaths,85,56288,Both,Philippines
Deaths,90,63669,Both,Philippines
Cases,0,304978,Both,Poland
Cases,5,392894,Both,Poland
Cases,10,568184,Both,Poland
Cases,15,902741,Both,Poland
Cases,20,1611978,Both,Poland
Cases,25,2103937,Both,Poland
Cases,30,2104966,Both,Poland
Cases,35,1970078,Both,Poland
Cases,40,1834677,Both,Poland
Cases,45,1744550,Both,Poland
Cases,50,1601880,Both,Poland
Cases,55,1397704,Both,Poland
Cases,60,1056240,Both,Poland
Cases,65,786408,Both,Poland
Cases,70,583227,Both,Poland
Cases,75,428594,Both,Poland
Cases,80,350497,Both,Poland
Cases,85,263302,Both,Poland
Cases,90,217188,Both,Poland
Deaths,0,894,Both,Poland
Deaths,5,311,Both,Poland
Deaths,10,428,Both,Poland
Deaths,15,767,Both,Poland
Deaths,20,1993,Both,Poland
Deaths,25,3347,Both,Poland
Deaths,30,5881,Both,Poland
Deaths,35,9267,Both,Poland
Deaths,40,14842,Both,Poland
Deaths,45,24111,Both,Poland
Deaths,50,34251,Both,Poland
Deaths,55,46765,Both,Poland
Deaths,60,57322,Both,Poland
Deaths,65,64455,Both,Poland
Deaths,70,66925,Both,Poland
Deaths,75,64368,Both,Poland
Deaths,80,63890,Both,Poland
Deaths,85,56288,Both,Poland
Deaths,90,63669,Both,Poland
Cases,0,304978,Both,Portugal
Cases,5,392894,Both,Portugal
Cases,10,568184,Both,Portugal
Cases,15,902741,Both,Portugal
Cases,20,1611978,Both,Portugal
Cases,25,2103937,Both,Portugal
Cases,30,2104966,Both,Portugal
Cases,35,1970078,Both,Portugal
Cases,40,1834677,Both,Portugal
Cases,45,1744550,Both,Portugal
Cases,50,1601880,Both,Portugal
Cases,55,1397704,Both,Portugal
Cases,60,1056240,Both,Portugal
Cases,65,786408,Both,Portugal
Cases,70,583227,Both,Portugal
Cases,75,428594,Both,Portugal
Cases,80,350497,Both,Portugal
Cases,85,263302,Both,Portugal
Cases,90,217188,Both,Portugal
Deaths,0,894,Both,Portugal
Deaths,5,311,Both,Portugal
Deaths,10,428,Both,Portugal
Deaths,15,767,Both,Portugal
Deaths,20,1993,Both,Portugal
Deaths,25,3347,Both,Portugal
Deaths,30,5881,Both,Portugal
Deaths,35,9267,Both,Portugal
Deaths,40,14842,Both,Portugal
Deaths,45,24111,Both,Portugal
Deaths,50,34251,Both,Portugal
Deaths,55,46765,Both,Portugal
Deaths,60,57322,Both,Portugal
Deaths,65,64455,Both,Portugal
Deaths,70,66925,Both,Portugal
Deaths,75,64368,Both,Portugal
Deaths,80,63890,Both,Portugal
Deaths,85,56288,Both,Portugal
Deaths,90,63669,Both,Portugal
Cases,0,304978,Both,Romania
Cases,5,392894,Both,Romania
Cases,10,568184,Both,Romania
Cases,15,902741,Both,Romania
Cases,20,1611978,Both,Romania
Cases,25,2103937,Both,Romania
Cases,30,2104966,Both,Romania
Cases,35,1970078,Both,Romania
Cases,40,1834677,Both,Romania
Cases,45,1744550,Both,Romania
Cases,50,1601880,Both,Romania
Cases,55,1397704,Both,Romania
Cases,60,1056240,Both,Romania
Cases,65,786408,Both,Romania
Cases,70,583227,Both,Romania
Cases,75,428594,Both,Romania
Cases,80,350497,Both,Romania
Cases,85,263302,Both,Romania
Cases,90,217188,Both,Romania
Deaths,0,894,Both,Romania
Deaths,5,311,Both,Romania
Deaths,10,428,Both,Romania
Deaths,15,767,Both,Romania
Deaths,20,1993,Both,Romania
Deaths,25,3347,Both,Romania
Deaths,30,5881,Both,Romania
Deaths,35,9267,Both,Romania
Deaths,40,14842,Both,Romania
Deaths,45,24111,Both,Romania
Deaths,50,34251,Both,Romania
Deaths,55,46765,Both,Romania
Deaths,60,57322,Both,Romania
Deaths,65,64455,Both,Romania
Deaths,70,66925,Both,Romania
Deaths,75,64368,Both,Romania
Deaths,80,63890,Both,Romania
Deaths,85,56288,Both,Romania
Deaths,90,63669,Both,Romania
Cases,0,304978,Both,Scotland
Cases,5,392894,Both,Scotland
Cases,10,568184,Both,Scotland
Cases,15,902741,Both,Scotland
Cases,20,1611978,Both,Scotland
Cases,25,2103937,Both,Scotland
Cases,30,2104966,Both,Scotland
Cases,35,1970078,Both,Scotland
Cases,40,1834677,Both,Scotland
Cases,45,1744550,Both,Scotland
Cases,50,1601880,Both,Scotland
Cases,55,1397704,Both,Scotland
Cases,60,1056240,Both,Scotland
Cases,65,786408,Both,Scotland
Cases,70,583227,Both,Scotland
Cases,75,428594,Both,Scotland
Cases,80,350497,Both,Scotland
Cases,85,263302,Both,Scotland
Cases,90,217188,Both,Scotland
Deaths,0,894,Both,Scotland
Deaths,5,311,Both,Scotland
Deaths,10,428,Both,Scotland
Deaths,15,767,Both,Scotland
Deaths,20,1993,Both,Scotland
Deaths,25,3347,Both,Scotland
Deaths,30,5881,Both,Scotland
Deaths,35,9267,Both,Scotland
Deaths,40,14842,Both,Scotland
Deaths,45,24111,Both,Scotland
Deaths,50,34251,Both,Scotland
Deaths,55,46765,Both,Scotland
Deaths,60,57322,Both,Scotland
Deaths,65,64455,Both,Scotland
Deaths,70,66925,Both,Scotland
Deaths,75,64368,Both,Scotland
Deaths,80,63890,Both,Scotland
Deaths,85,56288,Both,Scotland
Deaths,90,63669,Both,Scotland
Cases,0,304978,Both,Sierra Leone
Cases,5,392894,Both,Sierra Leone
Cases,10,568184,Both,Sierra Leone
Cases,15,902741,Both,Sierra Leone
Cases,20,1611978,Both,Sierra Leone
Cases,25,2103937,Both,Sierra Leone
Cases,30,2104966,Both,Sierra Leone
Cases,35,1970078,Both,Sierra Leone
Cases,40,1834677,Both,Sierra Leone
Cases,45,1744550,Both,Sierra Leone
Cases,50,1601880,Both,Sierra Leone
Cases,55,1397704,Both,Sierra Leone
Cases,60,1056240,Both,Sierra Leone
Cases,65,786408,Both,Sierra Leone
Cases,70,583227,Both,Sierra Leone
Cases,75,428594,Both,Sierra Leone
Cases,80,350497,Both,Sierra Leone
Cases,85,263302,Both,Sierra Leone
Cases,90,217188,Both,Sierra Leone
Deaths,0,894,Both,Sierra Leone
Deaths,5,311,Both,Sierra Leone
Deaths,10,428,Both,Sierra Leone
Deaths,15,767,Both,Sierra Leone
Deaths,20,1993,Both,Sierra Leone
Deaths,25,3347,Both,Sierra Leone
Deaths,30,5881,Both,Sierra Leone
Deaths,35,9267,Both,Sierra Leone
Deaths,40,14842,Both,Sierra Leone
Deaths,45,24111,Both,Sierra Leone
Deaths,50,34251,Both,Sierra Leone
Deaths,55,46765,Both,Sierra Leone
Deaths,60,57322,Both,Sierra Leone
Deaths,65,64455,Both,Sierra Leone
Deaths,70,66925,Both,Sierra Leone
Deaths,75,64368,Both,Sierra Leone
Deaths,80,63890,Both,Sierra Leone
Deaths,85,56288,Both,Sierra Leone
Deaths,90,63669,Both,Sierra Leone
Cases,0,304978,Both,Slovakia
Cases,5,392894,Both,Slovakia
Cases,10,568184,Both,Slovakia
Cases,15,902741,Both,Slovakia
Cases,20,1611978,Both,Slovakia
Cases,25,2103937,Both,Slovakia
Cases,30,2104966,Both,Slovakia
Cases,35,1970078,Both,Slovakia
Cases,40,1834677,Both,Slovakia
Cases,45,1744550,Both,Slovakia
Cases,50,1601880,Both,Slovakia
Cases,55,1397704,Both,Slovakia
Cases,60,1056240,Both,Slovakia
Cases,65,786408,Both,Slovakia
Cases,70,583227,Both,Slovakia
Cases,75,428594,Both,Slovakia
Cases,80,350497,Both,Slovakia
Cases,85,263302,Both,Slovakia
Cases,90,217188,Both,Slovakia
Deaths,0,894,Both,Slovakia
Deaths,5,311,Both,Slovakia
Deaths,10,428,Both,Slovakia
Deaths,15,767,Both,Slovakia
Deaths,20,1993,Both,Slovakia
Deaths,25,3347,Both,Slovakia
Deaths,30,5881,Both,Slovakia
Deaths,35,9267,Both,Slovakia
Deaths,40,14842,Both,Slovakia
Deaths,45,24111,Both,Slovakia
Deaths,50,34251,Both,Slovakia
Deaths,55,46765,Both,Slovakia
Deaths,60,57322,Both,Slovakia
Deaths,65,64455,Both,Slovakia
Deaths,70,66925,Both,Slovakia
Deaths,75,64368,Both,Slovakia
Deaths,80,63890,Both,Slovakia
Deaths,85,56288,Both,Slovakia
Deaths,90,63669,Both,Slovakia
Cases,0,304978,Both,Slovenia
Cases,5,392894,Both,Slovenia
Cases,10,568184,Both,Slovenia
Cases,15,902741,Both,Slovenia
Cases,20,1611978,Both,Slovenia
Cases,25,2103937,Both,Slovenia
Cases,30,2104966,Both,Slovenia
Cases,35,1970078,Both,Slovenia
Cases,40,1834677,Both,Slovenia
Cases,45,1744550,Both,Slovenia
Cases,50,1601880,Both,Slovenia
Cases,55,1397704,Both,Slovenia
Cases,60,1056240,Both,Slovenia
Cases,65,786408,Both,Slovenia
Cases,70,583227,Both,Slovenia
Cases,75,428594,Both,Slovenia
Cases,80,350497,Both,Slovenia
Cases,85,263302,Both,Slovenia
Cases,90,217188,Both,Slovenia
Deaths,0,894,Both,Slovenia
Deaths,5,311,Both,Slovenia
Deaths,10,428,Both,Slovenia
Deaths,15,767,Both,Slovenia
Deaths,20,1993,Both,Slovenia
Deaths,25,3347,Both,Slovenia
Deaths,30,5881,Both,Slovenia
Deaths,35,9267,Both,Slovenia
Deaths,40,14842,Both,Slovenia
Deaths,45,24111,Both,Slovenia
Deaths,50,34251,Both,Slovenia
Deaths,55,46765,Both,Slovenia
Deaths,60,57322,Both,Slovenia
Deaths,65,64455,Both,Slovenia
Deaths,70,66925,Both,Slovenia
Deaths,75,64368,Both,Slovenia
Deaths,80,63890,Both,Slovenia
Deaths,85,56288,Both,Slovenia
Deaths,90,63669,Both,Slovenia
Cases,0,304978,Both,South Korea
Cases,5,392894,Both,South Korea
Cases,10,568184,Both,South Korea
Cases,15,902741,Both,South Korea
Cases,20,1611978,Both,South Korea
Cases,25,2103937,Both,South Korea
Cases,30,2104966,Both,South Korea
Cases,35,1970078,Both,South Korea
Cases,40,1834677,Both,South Korea
Cases,45,1744550,Both,South Korea
Cases,50,1601880,Both,South Korea
Cases,55,1397704,Both,South Korea
Cases,60,1056240,Both,South Korea
Cases,65,786408,Both,South Korea
Cases,70,583227,Both,South Korea
Cases,75,428594,Both,South Korea
Cases,80,350497,Both,South Korea
Cases,85,263302,Both,South Korea
Cases,90,217188,Both,South Korea
Deaths,0,894,Both,South Korea
Deaths,5,311,Both,South Korea
Deaths,10,428,Both,South Korea
Deaths,15,767,Both,South Korea
Deaths,20,1993,Both,South Korea
Deaths,25,3347,Both,South Korea
Deaths,30,5881,Both,South Korea
Deaths,35,9267,Both,South Korea
Deaths,40,14842,Both,South Korea
Deaths,45,24111,Both,South Korea
Deaths,50,34251,Both,South Korea
Deaths,55,46765,Both,South Korea
Deaths,60,57322,Both,South Korea
Deaths,65,64455,Both,South Korea
Deaths,70,66925,Both,South Korea
Deaths,75,64368,Both,South Korea
Deaths,80,63890,Both,South Korea
Deaths,85,56288,Both,South Korea
Deaths,90,63669,Both,South Korea
Cases,0,304978,Both,Spain
Cases,5,392894,Both,Spain
Cases,10,568184,Both,Spain
Cases,15,902741,Both,Spain
Cases,20,1611978,Both,Spain
Cases,25,2103937,Both,Spain
Cases,30,2104966,Both,Spain
Cases,35,1970078,Both,Spain
Cases,40,1834677,Both,Spain
Cases,45,1744550,Both,Spain
Cases,50,1601880,Both,Spain
Cases,55,1397704,Both,Spain
Cases,60,1056240,Both,Spain
Cases,65,786408,Both,Spain
Cases,70,583227,Both,Spain
Cases,75,428594,Both,Spain
Cases,80,350497,Both,Spain
Cases,85,263302,Both,Spain
Cases,90,217188,Both,Spain
