Measure,Age,Value,Sex,Country
Deaths,35,9267,Both,Botswana
Deaths,40,14842,Both,Botswana
Deaths,45,24111,Both,Botswana
Deaths,50,34251,Both,Botswana
Deaths,55,46765,Both,Botswana
Deaths,60,57322,Both,Botswana
Deaths,65,64455,Both,Botswana
Deaths,70,66925,Both,Botswana
Deaths,75,64368,Both,Botswana
Deaths,80,63890,Both,Botswana
Deaths,85,56288,Both,Botswana
Deaths,90,63669,Both,Botswana
Cases,0,304978,Both,Burkina Faso
Cases,5,392894,Both,Burkina Faso
Cases,10,568184,Both,Burkina Faso
Cases,15,902741,Both,Burkina Faso
Cases,20,1611978,Both,Burkina Faso
Cases,25,2103937,Both,Burkina Faso
Cases,30,2104966,Both,Burkina Faso
Cases,35,1970078,Both,Burkina Faso
Cases,40,1834677,Both,Burkina Faso
Cases,45,1744550,Both,Burkina Faso
Cases,50,1601880,Both,Burkina Faso
Cases,55,1397704,Both,Burkina Faso
Cases,60,1056240,Both,Burkina Faso
Cases,65,786408,Both,Burkina Faso
Cases,70,583227,Both,Burkina Faso
Cases,75,428594,Both,Burkina Faso
Cases,80,350497,Both,Burkina Faso
Cases,85,263302,Both,Burkina Faso
Cases,90,217188,Both,Burkina Faso
Deaths,0,894,Both,Burkina Faso
Deaths,5,311,Both,Burkina Faso
Deaths,10,428,Both,Burkina Faso
Deaths,15,767,Both,Burkina Faso
Deaths,20,1993,Both,Burkina Faso
Deaths,25,3347,Both,Burkina Faso
Deaths,30,5881,Both,Burkina Faso
Deaths,35,9267,Both,Burkina Faso
Deaths,40,14842,Both,Burkina Faso
Deaths,45,24111,Both,Burkina Faso
Deaths,50,34251,Both,Burkina Faso
Deaths,55,46765,Both,Burkina Faso
Deaths,60,57322,Both,Burkina Faso
Deaths,65,64455,Both,Burkina Faso
Deaths,70,66925,Both,Burkina Faso
Deaths,75,64368,Both,Burkina Faso
Deaths,80,63890,Both,Burkina Faso
Deaths,85,56288,Both,Burkina Faso
Deaths,90,63669,Both,Burkina Faso
Cases,0,304978,Both,Cameroon
Cases,5,392894,Both,Cameroon
Cases,10,568184,Both,Cameroon
Cases,15,902741,Both,Cameroon
Cases,20,1611978,Both,Cameroon
Cases,25,2103937,Both,Cameroon
Cases,30,2104966,Both,Cameroon
Cases,35,1970078,Both,Cameroon
Cases,40,1834677,Both,Cameroon
Cases,45,1744550,Both,Cameroon
Cases,50,1601880,Both,Cameroon
Cases,55,1397704,Both,Cameroon
Cases,60,1056240,Both,Cameroon
Cases,65,786408,Both,Cameroon
Cases,70,583227,Both,Cameroon
Cases,75,428594,Both,Cameroon
Cases,80,350497,Both,Cameroon
Cases,85,263302,Both,Cameroon
Cases,90,217188,Both,Cameroon
Deaths,0,894,Both,Cameroon
Deaths,5,311,Both,Cameroon
Deaths,10,428,Both,Cameroon
Deaths,15,767,Both,Cameroon
Deaths,20,1993,Both,Cameroon
Deaths,25,3347,Both,Cameroon
Deaths,30,5881,Both,Cameroon
Deaths,35,9267,Both,Cameroon
Deaths,40,14842,Both,Cameroon
Deaths,45,24111,Both,Cameroon
Deaths,50,34251,Both,Cameroon
Deaths,55,46765,Both,Cameroon
Deaths,60,57322,Both,Cameroon
Deaths,65,64455,Both,Cameroon
Deaths,70,66925,Both,Cameroon
Deaths,75,64368,Both,Cameroon
Deaths,80,63890,Both,Cameroon
Deaths,85,56288,Both,Cameroon
Deaths,90,63669,Both,Cameroon
Cases,0,304978,Both,Canada
Cases,5,392894,Both,Canada
Cases,10,568184,Both,Canada
Cases,15,902741,Both,Canada
Cases,20,1611978,Both,Canada
Cases,25,2103937,Both,Canada
Cases,30,2104966,Both,Canada
Cases,35,1970078,Both,Canada
Cases,40,1834677,Both,Canada
Cases,45,1744550,Both,Canada
Cases,50,1601880,Both,Canada
Cases,55,1397704,Both,Canada
Cases,60,1056240,Both,Canada
Cases,65,786408,Both,Canada
Cases,70,583227,Both,Canada
Cases,75,428594,Both,Canada
Cases,80,350497,Both,Canada
Cases,85,263302,Both,Canada
Cases,90,217188,Both,Canada
Deaths,0,894,Both,Canada
Deaths,5,311,Both,Canada
Deaths,10,428,Both,Canada
Deaths,15,767,Both,Canada
Deaths,20,1993,Both,Canada
Deaths,25,3347,Both,Canada
Deaths,30,5881,Both,Canada
Deaths,35,9267,Both,Canada
Deaths,40,14842,Both,Canada
Deaths,45,24111,Both,Canada
Deaths,50,34251,Both,Canada
Deaths,55,46765,Both,Canada
Deaths,60,57322,Both,Canada
Deaths,65,64455,Both,Canada
Deaths,70,66925,Both,Canada
Deaths,75,64368,Both,Canada
Deaths,80,63890,Both,Canada
Deaths,85,56288,Both,Canada
Deaths,90,63669,Both,Canada
Cases,0,304978,Both,Chad
Cases,5,392894,Both,Chad
Cases,10,568184,Both,Chad
Cases,15,902741,Both,Chad
Cases,20,1611978,Both,Chad
Cases,25,2103937,Both,Chad
Cases,30,2104966,Both,Chad
Cases,35,1970078,Both,Chad
Cases,40,1834677,Both,Chad
Cases,45,1744550,Both,Chad
Cases,50,1601880,Both,Chad
Cases,55,1397704,Both,Chad
Cases,60,1056240,Both,Chad
Cases,65,786408,Both,Chad
Cases,70,583227,Both,Chad
Cases,75,428594,Both,Chad
Cases,80,350497,Both,Chad
Cases,85,263302,Both,Chad
Cases,90,217188,Both,Chad
Deaths,0,894,Both,Chad
Deaths,5,311,Both,Chad
Deaths,10,428,Both,Chad
Deaths,15,767,Both,Chad
Deaths,20,1993,Both,Chad
Deaths,25,3347,Both,Chad
Deaths,30,5881,Both,Chad
Deaths,35,9267,Both,Chad
Deaths,40,14842,Both,Chad
Deaths,45,24111,Both,Chad
Deaths,50,34251,Both,Chad
Deaths,55,46765,Both,Chad
Deaths,60,57322,Both,Chad
Deaths,65,64455,Both,Chad
Deaths,70,66925,Both,Chad
Deaths,75,64368,Both,Chad
Deaths,80,63890,Both,Chad
Deaths,85,56288,Both,Chad
Deaths,90,63669,Both,Chad
Cases,0,304978,Both,China
Cases,5,392894,Both,China
Cases,10,568184,Both,China
Cases,15,902741,Both,China
Cases,20,1611978,Both,China
Cases,25,2103937,Both,China
Cases,30,2104966,Both,China
Cases,35,1970078,Both,China
Cases,40,1834677,Both,China
Cases,45,1744550,Both,China
Cases,50,1601880,Both,China
Cases,55,1397704,Both,China
Cases,60,1056240,Both,China
Cases,65,786408,Both,China
Cases,70,583227,Both,China
Cases,75,428594,Both,China
Cases,80,350497,Both,China
Cases,85,263302,Both,China
Cases,90,217188,Both,China
Deaths,0,894,Both,China
Deaths,5,311,Both,China
Deaths,10,428,Both,China
Deaths,15,767,Both,China
Deaths,20,1993,Both,China
Deaths,25,3347,Both,China
Deaths,30,5881,Both,China
Deaths,35,9267,Both,China
Deaths,40,14842,Both,China
Deaths,45,24111,Both,China
